"VendorCode","VendorName","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08"
"J00004A","Jedd Creator (employee/contract requied if > $450 a mth)","","","","","","","","1","","",""
"K00001A","KL LIM LAW PRACTICE / Lim Kim Lark (pay via Amex)","","","1","","","","","","","",""
"K00002U","KILLICK AEROSPACE","","","","","","","7","7","7","2",""
"K00003A","KEZ'S KITCHEN / Mickies Bikkies Pty Ltd","","","","","","4","13","1","","1",""
"L00001A","Leadenhall Valuation Services Pty Ltd","","1","","","","","","","","",""
"L00002A","Lim Kian Kiat (Single EFT)","","","","","1","","","1","","",""
"L00004U","Leksono Wijonarko (Subcontractor)","","","","1","2","2","2","","","",""
"L00006A","Link Portside/ Portside Property Services Pty Ltd","","","","1","","","","","","",""
"L00008U","Lufthansa Systems GmbH & Co. KG","","","","","","1","","","","",""
"L00009A","LAD Graphics Pty Ltd","","","","","1","","","1","","",""
"L00012A","LENCROW PTY LTD","","","","","","","1","","","",""
"L00013U","Lufthansa Technik AG","","","","","","","","","1","",""
"M00001A","Made Retail Systems","","1","","","","","","","","",""
"M00002A","Mantra Tullamarine Hotel / THL Airport Hotel Melbourne PL","","","1","","","","","","","",""
"M00003A","Marsh Advantage Insurance Pty Ltd","","","3","","6","2","","2","3","2",""
"M00003U","Marsh Pty Ltd - USD","","","4","","","","","","","",""
"M00004A","Mobility Plus Wheelchairs Pty Ltd","","","","2","","2","","","","",""
"M00005A","Mr Porter's Life Pty Ltd","","","","","","4","3","3","2","",""
"M00006A","MERCURE NEWCASTLE AIRPORT","","","","2","","","","","","",""
"M00007A","Mercure Wagga Wagga","","","","","1","","","","","",""
"M00008A","Meteorfield Pty Ltd t/a Skysnacks","","","","","","4","8","5","7","6",""
"M00009A","MileOne Group Pty Ltd","","","","","","","5","6","5","1",""
"M00010A","MELBOURNE AIRPORT","","","","","","1","1","1","1","4",""
"M00011A","Madhouse Bakehouse","","","","","","","2","4","2","2",""
"M00012U","Magnetic MRO AS","","","","","","","3","1","1","",""
"M00013A","HOTEL INDIGO ADELAIDE MARKET/Market Street Hotelier Pty Ltd","","","","","","","","2","1","",""
"N00001A","National Plastic & Rubber Pty Ltd","","1","","1","","","","","","",""
"N00003A","NEWS CORP AUSTRALIA","","","","","1","","3","6","1","",""
"N00004A","Nine Radio Operations Pty Ltd","","","","","2","","","2","","",""
"N00005A","Neural Digital Pty Ltd","","","","","1","","1","","2","1",""
"N00006A","Nu-Pure Beverages","","","","","","","1","","","",""
"N00007A","COOMBES, NICHOLAS CONSTANTINE (T/A N.C. Coombes & Co)","","","","","","","","","1","",""
"O00001A","OFFICE OF STATE REVENUE (QLD PAYROLL TAX)","","1","1","1","1","1","1","1","1","",""
"O00002A","OATLEY FINE WINE MERCHANTS","","","","","3","4","3","5","3","1",""
"O00003A","oOh!media Operations Pty Ltd","","","","","","","","1","","",""
"O00004A","Officeworks Ltd","","","","","","","","","1","",""
"O00005U","ORIX Aviation Systems Ltd","","","","","","","","","2","",""
"ONEOFF","ONEOFF (Misc EFT only)","","","","","","","","1","","",""
"P00003A","PCS Precision (Aust)","","","","1","","","","","","",""
"P00003U","PT Garuda Indonesia (Persero) Tbk","","","","","","","2","","","",""
"P00004A","Pel-Air Aviation Pty Ltd","","","","","1","","","2","","",""
"P00005A","Skygard Pty Ltd / Permagard Pty Ltd","","","","","4","2","5","2","2","",""
"P00006A","Pro-Com Consulting Pty Ltd","","","","","","1","","","","",""
"P00007A","STATEWIDE BEARINGS / PARTOUT PTY LTD","","","","","","","","","1","",""
"P00008A","Poly Industries Pty Ltd","","","","","","","","1","","",""
"P00009A","Publishing ByChelle Pty Limited","","","","","","","","","1","",""
"P00010A","Programmed Facility Management Pty Ltd","","","","","","","","","2","",""
"Q00001A","Qantas Airways Limited","","1","","3","1","","2","","1","",""
"Q00002A","Quality Hotel Melbourne Airport","","","","","","","","1","","1",""
"R00001A","ROMA HUMIDI PTY LTD","1","1","1","","2","","","","","",""
"R00002A","Regional Express Holdings Ltd","","","","","6","6","15","17","19","",""
"R00005U","RateGain Technologies Limited","","","","","","","","2","","",""
"R00006A","John,Lijo (T/A RES Engineering  and maintenance)","","","","","","","","","1","",""
"S00002A","Silverback Cargo Care/ Silverback Cargo Equipment Pty Ltd","1","","","","","","","","","",""
"S00003A","Smartsalary Pty Ltd","","1","2","3","3","3","3","1","3","1",""
"S00004U","Six West (Elite Aero Ltd)","","","","","1","","2","","2","",""
"S00005A","Swissport Pty Ltd","","","","11","","6","16","15","13","",""
"S00006A","Sphere Communications Pty Ltd T/A Sphere Group","","","3","1","1","2","2","1","","",""
"S00007A","SYDNEY SUPER SHUTTLE","","","1","","3","","","","1","",""
"S00009A","SM SAFETY/ Special Mining Services Pty Ltd","","","","","1","1","","","","",""
"S00010A","Shawl Group Pty Ltd","","","","","1","","","","","",""
"S00012S","SQREEM Technologies Private Limited","","","","","2","","","","","",""
"S00013A","Southern Mobility Solutions Pty Ltd","","","","","","1","","","","",""
"S00014A","Stellar Entertainment / Stellar Group Pty Ltd","","","","","","1","2","1","1","",""
"S00014U","Stellar Entertainment / Stellar Group Pty Ltd","","","","","","","","","1","",""
"S00016A","SPRINGHILL FARM AUSTRALIA PTY LTD","","","","","","","2","","2","4",""
"S00017A","Sydney Airport Corporation Limited","","","","","","2","3","1","3","",""
"S00018A","Snack Brands Australia","","","","","","","1","2","","1",""
"S00019A","SMYP PTY LTD","","","","","","","","1","","",""
"S00020A","Steel Supplies Pty Ltd","","","","","","","","1","","",""
"S00021A","Sage Hotel/ 208 South Terrace (Hotel) Management","","","","","","","4","8","","",""
"S00022A","SOUTHERN CROSS AUSTEREO PTY LTD","","","","","","","3","3","","",""
"S00023A","Snowy Mountains Biscuits Pty Ltd (t/a Snowy Mountains Cookie","","","","","","","1","","","",""
"S00024A","St John Ambulance Australia (VIC) Inc","","","","","","","","1","","",""
"S00025A","Sydney Print Studio/ Graphic Prints Pty Ltd","","","","","","","","1","","",""
"S00026A","Storage Ideas Pty Limited","","","","","","","","","2","",""
"ST0001A","(60037) Ali Mert","","1","","","","","","","","",""
"ST0002A","(06683) Michael Allen","","1","1","","","","","","","",""
"ST0003A","(07831) Matthew Van Bruinessen","","1","","","","","","1","","",""
"ST0004A","(08553) Christopher Cafarelli","","1","","","","","","","","",""
"ST0005A","(07369) Barry Daffron","","1","","","","3","1","3","2","",""
